iter	Passed	Remaining
641	340301	2008944
642	340870	2008641
643	341407	2008153
644	341918	2007509
645	342429	2006868
646	342908	2006041
647	343419	2005398
648	343969	2004985
649	344473	2004306
650	344988	2003689
651	345503	2003070
652	346025	2002495
653	346504	2001671
654	346992	2000903
655	347605	2000853
656	348147	2000388
657	348666	1999799
658	349124	1998855
659	349575	1997876
660	350103	1997336
661	350637	1996830
662	351127	1996077
663	351630	1995395
664	352171	1994933
665	352713	1994471
666	353246	1993964
667	353798	1993560
668	354285	1992790
669	354796	1992154
670	355336	1991683
671	356035	1992103
672	356581	1991663
673	357069	1990901
674	357604	1990401
675	358139	1989901
676	358618	1989089
677	359200	1988848
678	359720	1988265
679	360276	1987876
680	360775	1987180
681	361306	1986656
682	361789	1985870
683	362286	1985162
684	362991	1985590
685	363611	1985553
686	364132	1984971
687	364653	1984394
688	365165	1983767
689	365721	1983373
690	366237	1982769
691	366808	1982459
692	367350	1981994
693	367834	1981217
694	368306	1980377
695	368862	1979985
696	369387	1979429
697	369958	1979117
698	370522	1978769
699	371047	1978215
700	371575	1977671
701	372115	1977195
702	372629	1976578
703	373154	1976024
704	373714	1975650
705	374296	1975394
706	374814	1974798
707	375315	1974114
708	375818	1973446
709	376347	1972910
710	376846	1972216
711	377352	1971559
712	377897	1971108
713	378478	1970845
714	379092	1970753
715	379644	1970334
716	380177	1969819
717	380745	1969483
718	381210	1968615
719	381695	1967854
720	382213	1967258
721	382709	1966553
722	383207	1965861
723	383726	1965272
724	384255	1964737
725	384740	1963980
726	385236	1963273
727	385767	1962752
728	386313	1962302
729	386805	1961583
730	387312	1960933
731	387841	1960399
732	388439	1960213
733	388952	1959599
734	389532	1959321
735	390038	1958669
736	390557	1958088
737	391076	1957503
738	391584	1956863
739	392092	1956224
740	392628	1955723
741	393155	1955182
742	393687	1954659
743	394337	1954725
744	394867	1954196
745	395383	1953595
746	395893	1952968
747	396527	1952952
748	397052	1952394
749	397634	1952121
750	398146	1951501
751	398698	1951077
752	399211	1950463
753	399762	1950037
754	400259	1949344
755	400770	1948720
756	401303	1948202
757	401777	1947400
758	402320	1946935
759	402782	1946075
760	403317	1945571
761	403854	1945071
